nama_usaha,jenis,golongan,jumlah_kamar,alamat,wilayah
TRANS MANGGA DUA,Hotel Melati,Melati 3,53,Jl. Mangga Dua Raya No.22,Jakarta Barat
NEW  MG,Hotel Melati,Melati 2,46,Jl. Mangga Besar Raya No. 38 AS,Jakarta Barat
PERINSEN,Hotel Melati,Melati 3,50,Jl. Mangga Besar Raya No. 103-105 Belakang,Jakarta Barat
PERMAI,Hotel Melati,Melati 3,95,Jl. Mangga Besar Raya No. 24,Jakarta Barat
PINANGSIA,Hotel Melati,Melati 2,40,Jl. Pinangsia I No. 55,Jakarta Barat
PINTU BESAR,Hotel Melati,Melati 3,51,Jl. Pintu Besar Selatan No. 42,Jakarta Barat
PANCORAN JAYA,Hotel Melati,Melati 3,98,Jl. Pancoran Raya No. 38,Jakarta Barat
FORTUNA II,Hotel Melati,Melati 2,40,Jl. Pintu Besar Selatan No. 69,Jakarta Barat
TAMANSARI,Hotel Melati,Melati 3,80,Jl. Tamansari VI No. 14 B RT. 009/07,Jakarta Barat
PERMATA,Hotel Melati,Melati 3,70,Jl. Sukarjo Wiryopranoto No. 5,Jakarta Barat
BELVENA,Hotel Melati,Melati 3,24,Jl. Mangga Besar Raya V No. 49,Jakarta Barat
PENTHOUSE,Hotel Melati,Melati 3,70,Jl. Mangga Besar IV No. 23,Jakarta Barat
HOTEL FEODORA,Hotel Melati,Melati 3,54,Jl. Mangga Besar IV No. 18,Jakarta Barat
MUSTIKA,Hotel Melati,Melati 2,48,Jl. Kemurnian VI No. 194,Jakarta Barat
DE RIVIER,Hotel Bintang,Bintang 4,311,Jl. Kalibesar Barat 44-46,Jakarta Barat
SUN CITY,Hotel Bintang,Bintang,100,Jl. Hayam Wuruk No. 127,Jakarta Barat
JEMBATAN LIMA,Hotel Melati,Melati 2,35,Jl. Jembatan Lima No. 162,Jakarta Barat
PURRI MELATI,Hotel Melati,Melati 2,40,Jl. Tiang bendera No. 67,Jakarta Barat
SURABAYA PERMAI,Hotel Melati,Melati 2,40,Jl. Perniagaan Selatan No. 46,Jakarta Barat
STADIUM,Hotel Bintang,Bintang,50,Jl. Hayam Wuruk No. 111 GG - HH - II,Jakarta Barat
HOTEL 23,Hotel Melati,Melati 3,64,Jl. Kapuk Raya No. 23,Jakarta Barat
GRAND PARAGON,Hotel Bintang,Bintang 3,100,Jl. Gajah Mada No. 126,Jakarta Barat
ILLIGAL'S,Hotel Bintang,Bintang,42,Jl. Hayam Wuruk No. 108,Jakarta Barat
BAMBOO INN,Hotel Melati,Melati 3,89,Jl. H. Saaman No. 9,Jakarta Barat
MY HOTEL,Hotel Melati,Melati 3,70,Jl. Hayam Wuruk No. 127 A,Jakarta Barat
THE PLAZA HOTEL GLODOK,Hotel Melati,Melati 3,90,Jl. Pinangsia Raya RT.006/07 Lt. 3,Jakarta Barat
HOLLYWOOD,Hotel,Hotel,24,Jl. Kebon Jeruk XVIII No. 63 RT. 002/09,Jakarta Barat
AMARIS,Hotel Melati,Melati 3,101,Jl. Mangga Besar Raya No. 7-9-11,Jakarta Barat
HOTEL PULLMAN JAKARTA CENTRAL PARK,Hotel Bintang,Bintang,317,Podomoro City Jl. Letjen S. Parman Kav. 28,Jakarta Barat
FEODORA HOTEL,Hotel Melati,Melati,50,"Jl. Dr. Susilo Raya No. 113 .A,B,C (C8) RT.001/05",Jakarta Barat
ANTONI,Hotel Melati,Melati,33,Jl. Hayam Wuruk 111 RT. 003/09,Jakarta Barat
HOTEL DE' QUR,Hotel,Hotel,41,Jl. Kali Besar Barat No. 27,Jakarta Barat
WISMA TANJUNG DUREN RESIDENCE,Hotel Melati,Melati 3,26,Jl. Tanjung Duren Utara III F No. 48,Jakarta Barat
NOVOTEL GAJAH MADA,Hotel Bintang,Bintang,235,Jl. Gajah Mada No. 188,Jakarta Barat
HOTEL 88,Hotel Melati,Melati 3,161,Jl. Mangga Besar VIII RT. 008/01 No. 10 D,Jakarta Barat
7 DAYS HOTEL,Hotel Melati,Melati 4,38,Jl. Mangga Besar Raya No. 67 C-D RT. 003/02,Jakarta Barat
EVERYDAY,Hotel Melati,Melati,94,Jl. Mangga Besar Raya No. 20,Jakarta Barat
WISMA MADU INN,Hotel Melati,Melati 3,32,Jl. Madu No. 36 RT. 003/03,Jakarta Barat
BUSINESS HOTEL,Hotel Melati,Melati,75,Jl. Tomang Raya No. 51,Jakarta Barat
AMARIS,Hotel Melati,Melati,121,Seasons City Lt. 2-3 Pusat Bisnis Jl. Latumenten No. 33,Jakarta Barat
TUGU BATAVIA,Hotel Melati,Melati,60,"Jl. Kali Besar Barat No. 26,28,29,30,31,32,33",Jakarta Barat
AMARIS HOTEL GROGOL,Hotel Melati,Melati ,80,Jl. Dr. Susilo Raya No. 4 RT. 001/03,Jakarta Barat
FAVE HOTEL LTC GLODOK,Hotel Bintang,Bintang ,203,Gd. LTC Glodok Jl. Hayam Wuruk No. 127,Jakarta Barat
B FASHION HOTEL,Hotel Bintang,Bintang ,132,Jl. Aranda No. 1,Jakarta Barat
WORLD,Hotel Melati ,Melati 3,88,Jl. Bandengan Selatan No. 14 RT. 008/005,Jakarta Barat
ATA HOTEL INDONESIA,Hotel Bintang,Bintang ,54,Graha Arteri Mas Jl. Kedoya Raya No. 41 / Jl. Panjang No. 68 Kav. 73,Jakarta Barat
HOTEL AGRAHA JAKARTA,Hotel Bintang,Bintang 2,80,Jl. Bandengan Selatan No. 20 RT. 0011/05,Jakarta Barat
HOTEL FAVE,Hotel Bintang ,Bintang ,108,Jl.Kembangan Abadi Utama/Jl.Kembangan Abadi Komp.Puri Kembangan Blok A.1,Jakarta Barat
RED STAR HOTEL JAKARTA,Hotel Melati,Melati 3,70,"Jl. Mangga Besar VIII No. 12 X,W,V,Y RT. 008/001",Jakarta Barat
7 DAYS HOTEL,Hotel Melati,Melati 3,48,Jl. Gajah Mada 196/Jl. Kemurnian IV,Jakarta Barat
IBIS BUDGET JAKARTA DAAN MOGOT,Hotel Bintang,Bintang,218,Jl. Daan Mogot No. 50 B RT.005/03,Jakarta Barat
HOTEL 88,Hotel Melati,Melati 3,161,Jl. Mangga Besar No. 62,Jakarta Barat
MAX ONE HOTEL,Hotel Melati,Melati 3,100,Jl. Pasar Glodok Selatan No. 8-10 RT.002/001,Jakarta Barat
HOTEL 88,Hotel Bintang,Bintang,95,Jl. Dr. Susilo Raya C-1 Perum PT. Hotel Internasional RT.001/005,Jakarta Barat
NEW TOWN,Hotel Bintang,Bintang,40,Komplek THR Lokasari B/1-18,Jakarta Barat
HOTEL SENTRAL,Hotel Bintang,Bintang 3,250,Jl. Pramuka Raya Kav. 63-64,Jakarta Pusat
PURI MEGA,Hotel Bintang,Bintang 1,125,Jl. Rawamangun No. 59,Jakarta Pusat
PATRA JASA JAKARTA HOTEL,Hotel Bintang,Bintang 3,52,Jl. Jend.  Ahmad Yani No. 2 RT. 003/04,Jakarta Pusat
THE MEDIA HOTEL & TOWERS,Hotel Bintang,Bintang 5,350,Jl. Gunung Sahari Raya No. 3,Jakarta Pusat
BOROBUDUR JAKARTA,Hotel Bintang,Bintang 5,695,Jl. Lapangan Banteng Selatan No. 1,Jakarta Pusat
GOLDEN BOUTIQUE,Hotel Bintang,Bintang 4,230,Jl. Angkasa No. 1 Gunung Sahari Utara,Jakarta Pusat
LE GRANDEUR,Hotel Bintang,Bintang 4,351,Jl. Mangga Dua Raya,Jakarta Pusat
CLASSIC,Hotel Bintang,Bintang 4,133,Jl. H. Samanhudi No. 43-45,Jakarta Pusat
ORCHARDZ P. JAYAKARTA,Hotel Bintang,Bintang 3,160,Jl. P. Jayakarta Blok 44/7-8,Jakarta Pusat
TRINITI JAKARTA,Hotel Bintang,Bintang,96,Jl. Pembangunan III/4-6,Jakarta Pusat
FASHION,Hotel Bintang,Bintang 2,58,Jl. Gunung Sahari XII No.2,Jakarta Pusat
PRIMA INDAH,Hotel Bintang,Bintang,98,Jl. Gunung Sahari Raya No. 19/21,Jakarta Pusat
MALIOBORO,Hotel Bintang,Bintang 3,60,Jl. Gajah Mada No. 13/H,Jakarta Pusat
O R C H A R D Z,Hotel Bintang,Bintang 3,153,Jl. Industri Raya No. 8,Jakarta Pusat
PECENONGAN CITY,Hotel Bintang,Bintang 1,84,Jl. Ceylon No. 19,Jakarta Pusat
ROYAL,Hotel Bintang,Bintang 2,61,Jl. Ir. H. Juanda No. 14,Jakarta Pusat
SURYA BARU,Hotel Bintang,Bintang 5,98,Jl. Batu Ceper No. 11 A,Jakarta Pusat
SURYA,Hotel Bintang,Bintang 2,70,Jl. Batu Ceper 44-46,Jakarta Pusat
MIRAH,Hotel Bintang,Bintang 1,61,Jl. Gunung Sahari XII/18,Jakarta Pusat
BINTANG BARU,Hotel Bintang,Bintang 2,87,Jl. Dr. Sutomo No. 9,Jakarta Pusat
BANYUWANGI SINTERA,Hotel Bintang,Bintang 1,60,Jl. H. Samanhudi 32 B-34,Jakarta Pusat
LAUTZE INDAH,Hotel Melati,Melati 3,64,Jl. Lautze No. 24,Jakarta Pusat
WISMA PERMAI,Hotel Melati,Melati 3,50,Jl. Lautze No. 50 A,Jakarta Pusat
SEHAT,Hotel Melati,Melati 3,30,Jl. Mangga Besar Raya No. 117,Jakarta Pusat
HARCO MANGGA DUA PLAZA,Hotel Melati,Melati 3,100,Jl. Mangga Dua Raya No. 22-23,Jakarta Pusat
GRAND CEMPAKA,Hotel Bintang,Bintang 4,220,Jl. Letjen Suprapto No. 27,Jakarta Pusat
HOTEL PURI JAYA,Hotel Bintang,Bintang 1,135,Jl. Percetakan Negara V/5,Jakarta Pusat
PURI MEGA EXTENTION,Hotel Melati,Melati 2,21,Jl. Percetakan Negara VII No. 11,Jakarta Pusat
C' ONE HOTEL CEMPAKA PUTIH,Hotel Bintang,Bintang 1,60,Jl. Letjen Suprapto,Jakarta Pusat
HOTEL ARYADUTA JAKARTA,Hotel Bintang,Bintang 5,284,Jl. Prapatan 44-48,Jakarta Pusat
REDTOP,Hotel Bintang,Bintang 4,390,Jl. Pecenongan No. 72,Jakarta Pusat
ALILA,Hotel Bintang,Bintang 3,264,Jl. Pecenongan Kav. 7-17,Jakarta Pusat
NEW HARMONI,Hotel Bintang,Bintang,68,Jl. Hayam Wuruk No. 1,Jakarta Pusat
SRIWIJAYA HOTEL,Hotel Bintang,Bintang 2,129,Jl. Veteran No. 1,Jakarta Pusat
LOSARI,Hotel Melati,Melati 3,80,Jl. KH. Hasyim Ashari No. 41-41A,Jakarta Pusat
ROXY ROYAL,Hotel Melati,Melati 2,30,"Jl. Supiori No. 3-3A, 5-5A-5B",Jakarta Pusat
CITI M. HOTEL,Hotel Melati,Melati 3,76,Jl. Tanah Abang I No 11 Petojo,Jakarta Pusat
SHANGRI-LA,Hotel Bintang,Bintang 5,661,Jl. Jend. Sudirman Kav. I Karet Tengsin,Jakarta Pusat
MULIA SENAYAN,Hotel Bintang,Bintang 5,889,Jl. Asia Afrika No. 1,Jakarta Pusat
LE MERIDIEN JAKARTA,Hotel Bintang,Bintang 5,346,Jl. Jend. Sudirman Kav. 18 - 20,Jakarta Pusat
THE SULTAN HOTEL,Hotel Bintang,Bintang 5,649,Jl. Jend. Gatot Subroto,Jakarta Pusat
HOTEL INDONESIA KEMPINSKI,Hotel Bintang,Bintang,289,Jl. MH. Thamrin No. 1,Jakarta Pusat
ATLET CENTURY PARK,Hotel Bintang,Bintang 4,613,Jl. Pintu Satu  Senayan,Jakarta Pusat
FORTUNE,Hotel Bintang,Bintang,50,Jl. KH. Mas Mansyur No. 13,Jakarta Pusat
CARAVAN,Hotel Bintang,Bintang,40,Jl. KH. Mas Mansyur No. 50,Jakarta Pusat
TUGU ASRI,Hotel Bintang,Bintang 1,30,Jl. Jatibaru No. 7-9,Jakarta Pusat
HOTEL  N1,Hotel Bintang,Bintang 2,84,Jl. KS. Tubun No. 3 RT.002/01,Jakarta Pusat
BUDI,Hotel Melati,Melati 2,60,Jl. Kebon Kosong XII No. 152,Jakarta Pusat
FOKUS,Hotel Melati,Melati 3,48,Jl. Kebon Kacang I No. 9,Jakarta Pusat
HOTEL GANI,Hotel Melati,Melati 3,40,Jl. KS. Tubun Raya no.9,Jakarta Pusat
JATI,Hotel Melati,Melati 2,24,Jl. Jati Baru  No. 13,Jakarta Pusat
PHARMIN,Hotel Melati,Melati 3,67,Jl. Jatibaru No. 35,Jakarta Pusat
ALAMANDA,Hotel Melati,Melati 3,40,Jl. Aipda KS. Tubun No. 47,Jakarta Pusat
KARSA UTAMA,Hotel Melati,Melati 3,45,Jl. Kebon Kacang IV No. 12,Jakarta Pusat
IBIS KEMAYORAN,Hotel Bintang,Bintang 3,132,Jl. Bungur Besar Raya No. 79-81,Jakarta Pusat
FAREL,Hotel Melati,Melati 3,54,Jl. Gunung Sahari II No.1,Jakarta Pusat
HOTEL KEPU SELATAN,Hotel Melati,Melati 3,42,Jl. Kepu Selatan No. 17 RT. 003/03,Jakarta Pusat
CEMPAKA  SARI,Hotel Melati,Melati 3,140,Jl. Letjen Suprapto No. 11,Jakarta Pusat
GARUDA,Hotel Melati,Melati 2,25,Jl. Letjen Suprapto No. 88,Jakarta Pusat
ILHAM DUA,Hotel Melati,Melati 3,56,Jl. Kemayoran Ketapang No. 90,Jakarta Pusat
ISTANA BUNGUR,Hotel Melati,Melati 3,52,Jl. Bungur Besar  XII No. 2,Jakarta Pusat
UTAN PANJANG KEMAYORAN,Hotel Melati,Melati 3,70,Jl. Kalibaru Timur VI No. 22 RT. 002/008,Jakarta Pusat
KEBON KOSONG,Hotel Melati,Melati 3,80,Jl. Kebon Kosong Raya No. 8,Jakarta Pusat
LUMIRE HOTEL,Hotel Bintang,Bintang 4,368,Jl. Senen  Raya 135,Jakarta Pusat
THE ACACIA JAKARTA,Hotel Bintang,Bintang 4,206,Jl. Kramat Raya No. 73-81,Jakarta Pusat
BINTANG GRIYAWISATA,Hotel Bintang,Bintang 3,93,Jl. Raden Saleh No. 16 RT. 01/010,Jakarta Pusat
PARDEDE INTERNATIONAL,Hotel Bintang,Bintang 3,72,Jl. Raden Saleh I No. 9-11,Jakarta Pusat
OASIS AMIR HOTEL,Hotel Bintang,Bintang 3,250,Jl. Senen Raya  Kav. 135-137,Jakarta Pusat
HOTEL GRAND CITY,Hotel Bintang,Bintang 3,80,Jl. Pal Putih No. 197 A,Jakarta Pusat
MEGAH INTERNASIONAL,Hotel Bintang,Bintang 1,20,Jl. Bungur Besar Raya No. 31,Jakarta Pusat
BUNGUR SERASI,Hotel Melati,Melati 3,100,Jl. Kalibaru Timur VI No. 72,Jakarta Pusat
HARAPAN JAYA,Hotel Melati,Melati 3,84,Jl. Kramat Pulo Dlm No. 1/B .77,Jakarta Pusat
ILHAM,Hotel Melati,Melati 2,40,Jl. Kalibaru Timur IV/39,Jakarta Pusat
PURI KWITANG,Hotel Melati,Melati 2,48,Jl. Kramat Kwitang 1 No. 11 A,Jakarta Pusat
RADEN,Hotel Melati,Melati 2,25,Jl. Raden Saleh No. 24,Jakarta Pusat
SEMARANG,Hotel Melati,Melati 3,45,Jl. Kramat Pulo No. 9 RT. 008/02,Jakarta Pusat
TIGA NUR,Hotel Melati,Melati 2,70,Jl. Kramat Pulo Dalam II/F-15 No. 5,Jakarta Pusat
MITRA OASIS RESIDENCE,Hunian Wisata,Hunian Wisata,50,Jl. Senen Raya No. 135-137,Jakarta Pusat
GRAND HYATT JAKARTA,Hotel Bintang,Bintang 5,428,Jl. MH. Thamrin Kav. 28-30 RT.001/002,Jakarta Pusat
MANDARIN ORIENTAL JAKARTA,Hotel Bintang,Bintang 5,272,Jl. MH. Thamrin RT. 001/02,Jakarta Pusat
PULLMAN JAKARTA INDONESIA,Hotel Bintang,Bintang 4,400,Jl. MH. Thamrin No. 59,Jakarta Pusat
HOTEL SARI PAN PACIFIC,Hotel Bintang,Bintang 4,418,Jl. MH. Thamrin No. 6,Jakarta Pusat
IBIS TAMARIN,Hotel Bintang,Bintang 3,126,Jl. KH. Wahid Hasyim No. 77,Jakarta Pusat
TREVA  INTERNATIONAL,Hotel Bintang,Bintang 3,174,Jl. Menteng Raya No. 33,Jakarta Pusat
BETAWI SOFYAN,Hotel Bintang,Bintang 3,100,Jl. Cut Mutiah No. 9,Jakarta Pusat
MARCOPOLO,Hotel Bintang,Bintang 3,191,Jl. Teuku Cik Ditiro No. 19,Jakarta Pusat
ROTA INTERNATIONAL,Hotel Bintang,Bintang 2,54,Jl. KH. Wahid Hasyim No. 63,Jakarta Pusat
MENTENG I,Hotel Bintang,Bintang 2,150,Jl. Rp. Soeroso No. 28,Jakarta Pusat
MENTENG II,Hotel Bintang,Bintang 2,70,Jl. Cikini Raya 105,Jakarta Pusat
MEGA,Hotel Bintang,Bintang 2,108,Jl. Proklamasi No. 40,Jakarta Pusat
MEGA CIKINI,Hotel Bintang,Bintang,80,Jl. Cikini Raya No. 62-64,Jakarta Pusat
IBIS BUDGET,Hotel Bintang,Bintang 1,150,Jl. Cikini Raya No. 75,Jakarta Pusat
CIPTA,Hotel Melati,Melati 3,48,Jl. KH. Wahid Hasyim No. 53,Jakarta Pusat
ORIA HOTEL,Hotel Melati,Melati 2,150,Jl. KH. Wahid Hasyim No. 85,Jakarta Pusat
IBIS BUDGET,Hotel Bintang,Bintang 1,135,Jl. HOS Cokroaminoto No. 79,Jakarta Pusat
MARGOT,Hotel Melati,Melati 2,34,Jl. Jaksa No.15/C,Jakarta Pusat
HOTEL MENTENG,Hotel Melati,Melati 3,65,Jl. Gondangdia Enclek No. 28,Jakarta Pusat
IBIS MANGGA DUA,Hotel Bintang,Bintang 3,202,Jl. Pangerang Jayakarta/Jl. Gatep RT.003/06,Jakarta Pusat
TRAVELLERS HOTEL JAKARTA,Hotel Bintang,Bintang 4,94,Jl. Pangeran Jayakarta No. 70,Jakarta Pusat
HOTEL MILLENNIUM SIRIH JAKARTA,Hotel Bintang,Bintang 4,401,Jl. H. Fachrudin No. 3,Jakarta Pusat
HOTEL BALISTA,Hotel Melati,Melati,41,Jl. Pintu Air V No. 49,Jakarta Pusat
EMPORIUM BOUTIQUE HOTEL,Hotel Bintang,Bintang 3,29,Jl. Pecenongan No. 29,Jakarta Pusat
BLUE SKY PANDURATA BOUTIQUE HOTEL,Hotel Melati,Melati 3,87,Jl. Raden Saleh No. 12,Jakarta Pusat
THE AKMANI SUITE HOTEL,Hotel Bintang,Bintang,100,Jl. KH. Wahid Hasyim No. 91,Jakarta Pusat
SWISS-BEL HOTEL MANGGA BESAR,Hotel Bintang,Bintang,246,Jl. Kartini Raya No. 57 RT. 003/002,Jakarta Pusat
SMART HOTEL,Hotel Melati,Melati 3,50,Jl. Tanjung Karang No. 2,Jakarta Pusat
GRAND SAHID JAYA,Hotel Bintang,Bintang 5,600,Jl. Jend. Sudirman Kav. 86,Jakarta Pusat
V-2,Hotel Bintang,Bintang,50,Komp. Duta Merlin Jl. Gajah Mada No. 3-5 Lt. III,Jakarta Pusat
C' ONE HOTEL & PLAZA,Hotel Bintang,Bintang,52,Jl. Letjend Suprapto No. 62,Jakarta Pusat
HOTEL 88,Hotel Melati,Melati,83,Jl. Mangga Besar Raya No. 120,Jakarta Pusat
THE PLAZA RESIDENCES,Hunian Wisata,Hunian Wisata,259,Jl. Kebembem RT. 015/06,Jakarta Pusat
INTERCONTINENTAL MID PLAZA JAKARTA,Hotel Bintang,Bintang,336,Jl. Kebembem RT. 015/06,Jakarta Pusat
MERLYNN PARK HOTEL,Hotel Bintang,Bintang,301,Jl. KH. Hasyim Ashari No. 29-31,Jakarta Pusat
BUNGA-BUNGA,Hotel Melati,Melati 3,100,Jl. Antara No. 13,Jakarta Pusat
MAX ONE HOTELS.COM @ Sabang,Hotel Bintang,Bintang,87,Jl. KH. Agus Salim No. 24,Jakarta Pusat
PURI INN,Hotel Melati,Melati 3,60,Jl. Raden Saleh 39 D,Jakarta Pusat
MAXIM ASRI,Hotel Bintang,Bintang 2,39,Jl. Kwitang Raya No. 11,Jakarta Pusat
AMARIS,Hotel Melati,Melati,72,Jl. Kramat Raya No. 35,Jakarta Pusat
MORRISSEY,Hunian Wisata,Hunian Wisata,135,Jl. KH. Wahid Hasyim No. 70,Jakarta Pusat
HOTEL FAVE,Hotel Melati,Melati,70,Jl. KH. Wahid Hasyim No. 135,Jakarta Pusat
HOTEL FAVE,Hotel Bintang,Bintang 2,90,Jl. KH. Samanhudi No. 26 RT. 005/003,Jakarta Pusat
BEST WESTERN HOTEL & RESIDENCE,Hotel Bintang,Bintang 4,168,Jl. Mangga Dua Abdad 111,Jakarta Pusat
ALEANDER,Hotel Bintang,Bintang 2,65,Jl. Antara No. 35,Jakarta Pusat
KERATON at THE PLAZA A LUXURY COLLECTION HOTEL JAKARTA,Hotel Bintang,Bintang,140,Jl. MH. Thamrin Kav. 15 RT. 001/002,Jakarta Pusat
AMARIS,Hotel Melati,Melati 3,197,Gd. Thamrin City Lt. 6 & 6A Blok HT No. 01  Jl. Kebon Kacang Raya,Jakarta Pusat
ANTARA,Hotel Melati,Melati 3,34,Jl. Antara No. 39 RT. 007/01,Jakarta Pusat
GREN ALIA PRAPATAN,Hotel Bintang,Bintang,110,Jl. Prapatan No. 28,Jakarta Pusat
BIG HOTEL,Hotel Melati,Meati 3,153,Jl. Kartini Raya 64 No. 2,Jakarta Pusat
AMARIS,Hotel Melati,Melati 3,80,Jl. IR. H. Juanda No. 3,Jakarta Pusat
CLAY HOTEL,Hotel Bintang,Bintang,81,Jl. Blora No. 20 RT. 002/06,Jakarta Pusat
SAVVOYA MENTENG HOTEL,Hotel Bintang,Bintang 3,95,Menteng Square Tower C Jl. Matraman Raya No. 30E,Jakarta Pusat
HOTEL N3,Hotel Bintang,Bintang 2,42,Jl. KH. Zainul Arifin No. 57 RT. 001/03,Jakarta Pusat
TUNE HOTELS,Hotel Melati,Melati 3,168,Jl. Samanhudi No. 25,Jakarta Pusat
NEO HOTEL,Hotel Melati,Melati 3,103,Jl. Cideng Timur No. 58,Jakarta Pusat
KOSENDA,Hotel Bintang,Bintang,60,Jl. KH. Wahid Hasyim No. 127,Jakarta Pusat
GRAND MERCURE,Hotel Bintang,Bintang 4,400,Jl. Hayam Wuruk No. 36-37,Jakarta Pusat
PRIMA INDAH II,Hotel Bintang,Bintang,81,Jl. Mangga Besar Raya No. 144,Jakarta Pusat
CALIFORNIA,Hotel Melati,Melati,50,Jl. Mangga Besar Raya No. 100 B-C RT. 002/010,Jakarta Pusat
ALL SEASONS,Hotel Bintang,Bintang,150,Jl. KH. Zainul Arifin No. 5 & 7 RT.002/001,Jakarta Pusat
BLUE SKY SMART HOTEL,Hotel Bintang,Bintang ,98,Jl. AIPDA KS. Tubun No. 19 RT. 005/006,Jakarta Pusat
IBIS HOTEL SENEN JAKARTA,Hotel Bintang,Bintang 3,155,Jl. Kramat Raya No. 100 RT. 003/008,Jakarta Pusat
ALL SEASONS THAMRIN HOTEL,Hotel Bintang,Bintang ,167,Jl. Talang Betutu No. 02 / Jl. Tanjung Karang No. 06-06 A,Jakarta Pusat
SHALOM,Hotel Melati ,Melati 3,31,Jl. Kramat Pulo No. 18/A,Jakarta Pusat
FAIRMONT JAKARTA,Hotel Bintang,Bintang 5,488,Jl. Asia Afrika No. 8,Jakarta Pusat
THE HERMITAGE,Hunian Wisata,Hunian Wisata,90,Jl. Cilacap No. 1 RT. 011/005,Jakarta Pusat
